taxa,variable,estimate,se,lower_ci,upper_ci,p
ant,logDistWater_scaled,0.07,0.17,-0.2632,0.4032,0.69
ant,logBiomass_scaled,-0.23,0.17,-0.5632,0.1032,0.19
ant,logDistBoma_scaled,-0.16,0.13,-0.4148,0.0948,0.24
ant,PctWaterCt_scaled,0.13,0.12,-0.1052,0.3652,0.28
ant,PctClay_scaled,-0.03,0.1,-0.226,0.166,0.73
ant,FreshWgtCor_scaled,0.04,0.11,-0.1756,0.2556,0.69
termite,logDistWater_scaled,0.19,0.37,-0.5352,0.9152,0.62
termite,logBiomass_scaled,-0.73,0.32,-1.3572,-0.1028,0.02
termite,logDistBoma_scaled,-0.45,0.17,-0.7832,-0.1168,0.01
termite,PctWaterCt_scaled,0.28,0.24,-0.1904,0.7504,0.23
termite,PctClay_scaled,-0.4,0.23,-0.8508,0.0508,0.08
termite,FreshWgtCor_scaled,0.05,0.21,-0.3616,0.4616,0.8
worm,logDistWater_scaled,-0.04,0.15,-0.334,0.254,0.76
worm,logBiomass_scaled,0.02,0.17,-0.3132,0.3532,0.92
worm,logDistBoma_scaled,-0.17,0.13,-0.4248,0.0848,0.2
worm,PctWaterCt_scaled,0.38,0.16,0.0664,0.6936,0.02
worm,PctClay_scaled,0.08,0.14,-0.1944,0.3544,0.56
worm,FreshWgtCor_scaled,0.33,0.13,0.0752,0.5848,0.01
